"Flight.Type","Airline","Flight.No","TotalFlight"
"Domestic","AZUL","AZU - 4064",29
"Domestic","AZUL","AZU - 4065",45
"Domestic","AZUL","AZU - 4066",6
"Domestic","AZUL","AZU - 4068",20
"Domestic","AZUL","AZU - 4069",12
"Domestic","AZUL","AZU - 4070",9
"Domestic","AZUL","AZU - 4071",6
"Domestic","AZUL","AZU - 4072",8
"Domestic","AZUL","AZU - 4073",56
"Domestic","AZUL","AZU - 4074",6
"Domestic","AZUL","AZU - 4075",8
"Domestic","AZUL","AZU - 4076",37
"Domestic","AZUL","AZU - 4077",119
"Domestic","AZUL","AZU - 4079",15
"Domestic","AZUL","AZU - 4080",21
"Domestic","AZUL","AZU - 4081",45
"Domestic","AZUL","AZU - 4082",9
"Domestic","AZUL","AZU - 4083",108
"Domestic","AZUL","AZU - 4084",50
"Domestic","AZUL","AZU - 4085",37
"Domestic","AZUL","AZU - 4086",66
"Domestic","AZUL","AZU - 4087",32
"Domestic","AZUL","AZU - 4088",12
"Domestic","AZUL","AZU - 4089",45
"Domestic","AZUL","AZU - 4090",31
"Domestic","AZUL","AZU - 4091",10
"Domestic","AZUL","AZU - 4092",49
"Domestic","AZUL","AZU - 4093",8
"Domestic","AZUL","AZU - 4094",8
"Domestic","AZUL","AZU - 4095",16
"Domestic","AZUL","AZU - 4096",13
"Domestic","AZUL","AZU - 4097",111
"Domestic","AZUL","AZU - 4098",79
"Domestic","AZUL","AZU - 4099",8
"Domestic","AZUL","AZU - 4100",478
"Domestic","AZUL","AZU - 4101",132
"Domestic","AZUL","AZU - 4102",43
"Domestic","AZUL","AZU - 4103",187
"Domestic","AZUL","AZU - 4104",177
"Domestic","AZUL","AZU - 4105",11
"Domestic","AZUL","AZU - 4106",100
"Domestic","AZUL","AZU - 4107",3
"Domestic","AZUL","AZU - 4108",8
"Domestic","AZUL","AZU - 4109",103
"Domestic","AZUL","AZU - 4110",2
